State,HDI,log_GNI_pc,HDI_pred,residual_HDI
Manipur,0.683,8.671,0.6324239213097824,0.05057607869021763
Kerala,0.758,9.4,0.7177765317128959,0.0402234682871041
Nagaland,0.679,8.888,0.657830665421546,0.021169334578454047
Sikkim,0.712,9.183,0.6923697876011323,0.01963021239886764
Jammu and Kashmir,0.72,9.27,0.7025559015998578,0.01744409840014216
Puducherry,0.741,9.456,0.7243331108385123,0.01666688916148773
Assam,0.615,8.387,0.5991726986012994,0.01582730139870059
Goa,0.76,9.643,0.7462274018472671,0.013772598152732907
Meghalaya,0.65,8.737,0.6401513181364018,0.009848681863598219
Tamil Nadu,0.692,9.102,0.6828861642230087,0.009113835776991208
West Bengal,0.635,8.619,0.6263356692645673,0.008664330735432713
Maharashtra,0.695,9.132,0.6863986173260174,0.008601382673982583
Tripura,0.624,8.538,0.6168520458864436,0.007147954113556398
Chandigarth,0.751,9.633,0.745056584146264,0.005943415853736034
Jharkhand,0.6,8.346,0.5943723460271874,0.0056276539728126185
Arunachal Pradesh,0.683,9.064,0.6784370569591975,0.004562943040802514
Himachal Pradesh,0.715,9.355,0.7125078520583827,0.0024921479416172287
New Delhi,0.734,9.518,0.7315921805847305,0.002407819415269463
Mizoram,0.709,9.327,0.7092295624955746,-0.00022956249557459785
Lakshadweep,0.719,9.413,0.7192985947241998,-0.0002985947241997966
Andaman and Nicobar Islands,0.706,9.334,0.7100491348862765,-0.004049134886276562
Bihar,0.577,8.253,0.5834837414078602,-0.006483741407860233
Uttaranchal,0.681,9.148,0.6882719256476221,-0.007271925647622024
Orissa,0.61,8.544,0.6175545365070454,-0.007554536507045406
Chhattisgarh,0.625,8.688,0.6344143114014875,-0.009414311401487518
Karnataka,0.673,9.112,0.6840569819240117,-0.01105698192401161
Daman and Diu,0.674,9.125,0.6855790449353154,-0.011579044935315363
Uttar Pradesh,0.609,8.571,0.6207157442997532,-0.011715744299753195
Dadra and Nagar Haveli,0.624,8.718,0.6379267645044963,-0.013926764504496258
Madhya Pradesh,0.611,8.629,0.6275064869655702,-0.016506486965570222
Haryana,0.696,9.381,0.7155519780809904,-0.019551978080990406
Telangana,0.66,9.077,0.6799591199705014,-0.01995911997050137
Rajasthan,0.652,9.027,0.6741050314654866,-0.02210503146548659
Punjab,0.698,9.489,0.7281968092518221,-0.03019680925182211
Andhra Pradesh,0.642,9.027,0.6741050314654866,-0.0321050314654866
Gujarat,0.646,9.092,0.6817153465220058,-0.03571534652200581
