State,residual_HDI,health_share,education_share,residual_pred
Andhra Pradesh,-0.032105031,0.059,0.135,-0.10989989083474738
Arunachal Pradesh,0.004562943,0.06,0.114,-0.03368404819709164
Assam,0.015827301,0.07,0.175,-0.01779829285331411
Bihar,-0.006483741,0.06,0.184,-0.22644820676644442
Chhattisgarh,-0.009414311,0.069,0.169,-0.01966224575707672
Goa,0.0137725981527329,0.084,0.127,0.3717951753872835
Gujarat,-0.035715347,0.067,0.132,0.04545419078159564
Haryana,-0.019551978,0.052,0.122,-0.20280699828267404
Himachal Pradesh,0.002492148,0.062,0.157,-0.11532312689885137
Jammu and Kashmir,0.017444098,0.075,0.153,0.13471770374558892
Jharkhand,0.005627654,0.062,0.145,-0.08227784257267656
Karnataka,-0.011056982,0.056,0.112,-0.10172288107679542
Kerala,0.040223468,0.068,0.143,0.03354927521611875
Madhya Pradesh,-0.016506487,0.053,0.129,-0.2036968190727594
Maharashtra,0.008601383,0.048,0.158,-0.3754892315285978
Manipur,0.050576079,0.066,0.114,0.07663552220400786
Meghalaya,0.009848682,0.096,0.136,0.5676503529448511
Mizoram,-0.000229562,0.071,0.154,0.05841754978434135
Nagaland,0.021169334578454,0.064,0.142,-0.03724333135743303
New Delhi,0.002407819,0.148,0.212,1.3144664956886059
Orissa,-0.007554537,0.068,0.128,0.07485588062383716
Puducherry,0.016666889,0.074,0.098,0.2677886618403733
Punjab,-0.030196809,0.032,0.104,-0.5209709731304099
Rajasthan,-0.022105031,0.065,0.163,-0.07668598386138899
Sikkim,0.019630212,0.074,0.178,0.047486766332541605
Tamil Nadu,0.009113836,0.06,0.123,-0.05846801144172269
Telangana,-0.01995912,0.038,0.079,-0.341807060383113
Tripura,0.007147954,0.064,0.13,-0.004198047031258318
Uttar Pradesh,-0.011715744,0.053,0.136,-0.2229732349296947
Uttaranchal,-0.007271926,0.06,0.173,-0.19615669613411754
West Bengal,0.008664331,0.064,0.145,-0.04550465243897673
