State,residual_HDI,health_index,education_index,residual_HDI_pred_cap,cap_model_error
Andhra Pradesh,-0.032105031,63.74,50.7,-0.007236673887905028,-0.024868357112094973
Arunachal Pradesh,0.004562943,34.09,18.3,0.003513569676431054,0.0010493733235689457
Assam,0.015827301,49.64,62.8,0.000669113421536434,0.015158187578463565
Bihar,-0.006483741,15.31,35.2,0.014123006791001097,-0.020606747791001096
Chhattisgarh,-0.009414311,42.27,57.5,0.003620900579786276,-0.013035211579786276
Goa,0.013772598,55.88,34.9,-0.005119169502559061,0.01889176750255906
Gujarat,-0.035715347,69.06,66.6,-0.008141219213325078,-0.027574127786674923
Haryana,-0.019551978,58.62,62.9,-0.0035731628991377416,-0.01597881510086226
Himachal Pradesh,0.002492148,51.65,54.6,-0.0011154564058974926,0.0036076044058974926
Jammu and Kashmir,0.017444098,36.07,49.8,0.005774910178814031,0.011669187821185971
Jharkhand,0.005627654,23.19,21.0,0.008949403812398457,-0.0033217498123984572
Karnataka,-0.011056982,50.11,52.8,-0.0005689951714424709,-0.01048798682855753
Kerala,0.040223468,65.62,79.0,-0.005252952532905317,0.045476420532905314
Madhya Pradesh,-0.016506487,34.11,44.5,0.006164820305028585,-0.022671307305028587
Maharashtra,0.008601383,57.94,46.9,-0.004876020583232172,0.013477403583232173
Manipur,0.050576079,23.46,36.0,0.010344860582414987,0.040231218417585014
Meghalaya,0.009848682,39.62,38.7,0.0029665741108269544,0.006882107889173044
Mizoram,-0.000229562,61.9,47.5,-0.006690325191343483,0.006460763191343483
Nagaland,0.021169335,24.62,45.2,0.010729847847324711,0.01043948715267529
New Delhi,0.002407819,43.6,66.4,0.003894918962268133,-0.0014870999622681332
Orissa,-0.007554537,42.04,61.9,0.004176654598616261,-0.011731191598616261
Puducherry,0.016666889,51.44,38.2,-0.002681501819451249,0.01934839081945125
Punjab,-0.030196809,57.48,53.7,-0.003967621058805453,-0.026229187941194547
Rajasthan,-0.022105031,52.04,56.4,-0.0011173411917683048,-0.020987689808231697
Sikkim,0.019630212,34.77,45.0,0.005903057906323348,0.013727154093676653
Tamil Nadu,0.009113836,71.06,63.2,-0.009433593161620223,0.01854742916162022
Telangana,-0.01995912,61.56,35.4,-0.007758126485518851,-0.012200993514481149
Tripura,0.007147954,56.55,38.3,-0.005091160004455081,0.012239114004455081
Uttar Pradesh,-0.011715744,36.55,42.2,0.004775796354336027,-0.016491540354336028
Uttaranchal,-0.007271926,41.13,38.8,0.0022616769822606493,-0.00953360298226065
