State,residual_HDI,WPR,Urban_MPCE,Rural_MPCE
Andaman and Nicobar Islands,-0.004049135,43.9,10268,7332
Andhra Pradesh,-0.032105031,45.4,6877,4996
Arunachal Pradesh,0.004562943,45.3,8649,5300
Assam,0.015827301,28.2,6210,3546
Bihar,-0.006483741,27.1,4819,3454
Chandigarth,0.005943416,36.1,12577,7467
Chhattisgarh,-0.009414311,50.1,4557,2575
Dadra and Nagar Haveli,-0.013926765,46.8,6306,4229
Daman and Diu,-0.011579045,46.8,6306,4229
Goa,0.0137725981527329,36.8,8761,7388
Gujarat,-0.035715347,44.9,6630,3820
Haryana,-0.019551978,33.5,7948,4912
Himachal Pradesh,0.002492148,52.3,8083,5573
Jammu and Kashmir,0.017444098,33.6,6200,4357
Jharkhand,0.005627654,31.9,4946,2796
Karnataka,-0.011056982,42.9,7781,4578
Kerala,0.040223468,35.8,7102,5960
Lakshadweep,-0.000298595,24.3,5511,5979
Madhya Pradesh,-0.016506487,38.5,5011,3158
Maharashtra,0.008601383,44.5,6683,4076
Manipur,0.050576079,35.5,4902,4370
Meghalaya,0.009848682,41.0,6450,3530
Mizoram,-0.000229562,40.7,7664,5243
Nagaland,0.021169334578454,42.7,7159,4457
New Delhi,0.002407819,34.6,8250,6595
Orissa,-0.007554537,36.9,5223,2996
Puducherry,0.016666889,38.2,7741,6627
Punjab,-0.030196809,38.7,6577,5363
Rajasthan,-0.022105031,39.4,5970,4348
Sikkim,0.019630212,59.5,12125,7787
Tamil Nadu,0.009113836,41.9,7742,5457
Telangana,-0.01995912,43.6,8251,4959
Tripura,0.007147954,43.2,7473,5301
Uttar Pradesh,-0.011715744,32.2,5104,3277
Uttaranchal,-0.007271926,34.5,7034,4721
West Bengal,0.008664331,39.4,5426,3407
