State,residual_HDI,Per_Capita_Exp,pc_social_inr_z,residual_pred_spend,spend_model_error
Andhra Pradesh,-0.032105031,16449.40989,-0.26517654773640975,-0.001061117142890101,-0.031043913857109896
Arunachal Pradesh,0.004562943,40275.27723,2.180470693072146,0.015838688223793813,-0.011275745223793814
Assam,0.015827301,11626.6016,-0.7602220215935276,-0.004481958880097125,0.020309259880097123
Bihar,-0.006483741,8212.896988,-1.110627618423869,-0.006903316419736276,0.0004195754197362754
Chhattisgarh,-0.009414311,13619.23168,-0.555685070742523,-0.0030685765238852893,-0.006345734476114711
Goa,0.013772598,43983.96408,2.561155250418694,0.018469278121596044,-0.004696680121596044
Gujarat,-0.035715347,11846.59254,-0.7376406721829806,-0.004325918219944861,-0.03138942878005514
Haryana,-0.019551978,16537.02133,-0.25618352039173276,-0.0009989739158349758,-0.018553004084165027
Himachal Pradesh,0.002492148,23647.01109,0.4736336396966389,0.004044176933132844,-0.0015520289331328436
Jammu and Kashmir,0.017444098,19167.2136,0.013797100927444385,0.0008666344503012787,0.016577463549698725
Jharkhand,0.005627654,8808.08921,-1.0495330863880412,-0.006481143637355456,0.012108797637355456
Karnataka,-0.011056982,16599.44648,-0.2497757832178483,-0.0009546954486576286,-0.010102286551342371
Kerala,0.040223468,17076.36169,-0.20082199904739803,-0.0006164171349913681,0.040839885134991365
Madhya Pradesh,-0.016506487,12370.04827,-0.6839096560780312,-0.003954628485605417,-0.012551858514394583
Maharashtra,0.008601383,13195.87422,-0.5991413273039147,-0.0033688660609852497,0.01197024906098525
Manipur,0.050576079,22384.20221,0.3440104444958659,0.003148460358253261,0.047427618641746744
Meghalaya,0.009848682,22284.97567,0.33382516518145583,0.003078078483407758,0.006770603516592241
Mizoram,-0.000229562,34814.96711,1.619987744503146,0.011965663290308454,-0.012195225290308455
Nagaland,0.021169335,22855.83942,0.392422459254408,0.0034829949604544778,0.01768634003954552
New Delhi,0.002407819,15808.17656,-0.3309970487007612,-0.0015159471105461956,0.003923766110546196
Orissa,-0.007554537,14615.34926,-0.45343686393924043,-0.0023620254051325146,-0.0051925115948674855
Puducherry,0.016666889,19410.30534,0.03874967179130744,0.0010390606219752678,0.015627828378024733
Punjab,-0.030196809,9959.32628,-0.9313623720302392,-0.005664565498298653,-0.02453224350170135
Rajasthan,-0.022105031,14331.71882,-0.482550599573568,-0.0025632058769141115,-0.019541825123085887
Sikkim,0.019630212,46883.30871,2.8587634798831583,0.020525797585870878,-0.0008955855858708769
Tamil Nadu,0.009113836,15047.74744,-0.4090526070827328,-0.0020553232406895754,0.011169159240689576
Telangana,-0.01995912,18967.05103,-0.006748931250440243,0.0007246581509110679,-0.020683778150911068
Tripura,0.007147954,20004.66716,0.09975896578181769,0.0014606443961166053,0.0056873096038833944
Uttar Pradesh,-0.011715744,7323.086784,-1.2019637212906242,-0.00753446319170052,-0.00418128080829948
Uttaranchal,-0.007271926,19120.44916,0.00899688433839513,0.0008334642020662794,-0.00810539020206628
West Bengal,0.008664331,12790.59363,-0.6407420523706044,-0.0036563335849228214,0.012320664584922822
