State,HDI_residual_z,Efficiency_Type,Efficiency_z
Andhra Pradesh,-1.358831098608988,Edu_TE_z,0.6850779679601422
Assam,0.7744808175434965,Edu_TE_z,-2.095141358324703
Bihar,-0.21851096429550432,Edu_TE_z,0.6850779679601422
Chhattisgarh,-0.3489410861205594,Edu_TE_z,-0.33921336277637926
Gujarat,-1.5195145000315597,Edu_TE_z,0.6850779679601422
Haryana,-0.800135612042766,Edu_TE_z,0.6850779679601422
Himachal Pradesh,0.18097660834673665,Edu_TE_z,0.6850779679601422
Jharkhand,0.32052776377492675,Edu_TE_z,-1.0708500275881814
Karnataka,-0.4220510199042551,Edu_TE_z,0.2460959690730609
Kerala,1.8602747190283233,Edu_TE_z,0.6850779679601422
Madhya Pradesh,-0.6645907309625976,Edu_TE_z,-2.095141358324703
Maharashtra,0.4528787520620857,Edu_TE_z,-0.046558696851659996
Manipur,2.32103570202392,Edu_TE_z,0.6850779679601422
Mizoram,0.05984216457898131,Edu_TE_z,0.6850779679601422
Nagaland,1.0122373445718857,Edu_TE_z,0.6850779679601422
Punjab,-1.2739023550781219,Edu_TE_z,0.6850779679601422
Rajasthan,-0.9137636822870605,Edu_TE_z,-1.8024866923999836
Sikkim,0.9437359948707205,Edu_TE_z,0.6850779679601422
Tamil Nadu,0.47568636533172776,Edu_TE_z,0.6850779679601422
Telangana,-0.8182561758443802,Edu_TE_z,0.6850779679601422
Tripura,0.3881913630783494,Edu_TE_z,-0.6318680287011001
Uttar Pradesh,-0.4513703700353617,Edu_TE_z,-1.0708500275881814
Andhra Pradesh,-1.358831098608988,Health_TE_z,-0.18701618135617493
Assam,0.7744808175434965,Health_TE_z,-1.4822764003785558
Bihar,-0.21851096429550432,Health_TE_z,-0.7203586244830376
Chhattisgarh,-0.3489410861205594,Health_TE_z,-1.4822764003785558
Gujarat,-1.5195145000315597,Health_TE_z,0.1939427065915841
Haryana,-0.800135612042766,Health_TE_z,0.11775092900203231
Himachal Pradesh,0.18097660834673665,Health_TE_z,0.11775092900203231
Jharkhand,0.32052776377492675,Health_TE_z,-0.4917832917143822
Karnataka,-0.4220510199042551,Health_TE_z,0.651093372128895
Kerala,1.8602747190283233,Health_TE_z,1.108244037666206
Madhya Pradesh,-0.6645907309625976,Health_TE_z,-1.9394270659158666
Maharashtra,0.4528787520620857,Health_TE_z,1.108244037666206
Manipur,2.32103570202392,Health_TE_z,0.7272851497184468
Mizoram,0.05984216457898131,Health_TE_z,1.108244037666206
Nagaland,1.0122373445718857,Health_TE_z,1.108244037666206
Punjab,-1.2739023550781219,Health_TE_z,0.7272851497184468
Rajasthan,-0.9137636822870605,Health_TE_z,-1.1013175124307966
Sikkim,0.9437359948707205,Health_TE_z,1.032052260076654
Tamil Nadu,0.47568636533172776,Health_TE_z,0.8796687048975504
Telangana,-0.8182561758443802,Health_TE_z,0.27013448418113595
Tripura,0.3881913630783494,Health_TE_z,-0.18701618135617493
Uttar Pradesh,-0.4513703700353617,Health_TE_z,-1.5584681779681075
