State,residual_HDI,WPR,residual_pred_wpr
Andaman and Nicobar Islands,-0.004049135,63.9,-0.0006543703007860202
Andhra Pradesh,-0.032105031,64.3,-0.0007351844708014011
Arunachal Pradesh,0.004562943,66.4,-0.0011594588633821543
Assam,0.015827301,55.8,0.0009821166420254503
Bihar,-0.006483741,48.7,0.002416568159798466
Chandigarth,0.005943416,51.8,0.0017902583421792627
Chhattisgarh,-0.009414311,73.6,-0.0026141139236590142
Dadra and Nagar Haveli,-0.013926765,66.6,-0.0011998659483898426
Daman and Diu,-0.011579045,66.6,-0.0011998659483898426
Goa,0.0137725981527329,52.6,0.0016286300021484993
Gujarat,-0.035715347,65.8,-0.0010382376083590808
Haryana,-0.019551978,49.4,0.00227514336227155
Himachal Pradesh,0.002492148,77.2,-0.0033414414537974472
Jammu and Kashmir,0.017444098,64.3,-0.0007351844708014011
Jharkhand,0.005627654,64.5,-0.0007755915558090923
Karnataka,-0.011056982,61.2,-0.00010887465318219766
Kerala,0.040223468,55.2,0.001103337897048521
Lakshadweep,-0.000298595,41.0,0.0039722409325945555
Madhya Pradesh,-0.016506487,66.6,-0.0011998659483898426
Maharashtra,0.008601383,62.0,-0.00027050299321295957
Manipur,0.050576079,52.9,0.0015680193746369637
Meghalaya,0.009848682,67.3,-0.0013412907459167604
Mizoram,-0.000229562,60.5,3.2550144344720074e-05
Nagaland,0.021169334578454,70.9,-0.0020686182760551934
New Delhi,0.002407819,49.4,0.00227514336227155
Orissa,-0.007554537,63.8,-0.0006341667582821745
Puducherry,0.016666889,54.7,0.0012043556095677475
Punjab,-0.030196809,54.0,0.001345780407094665
Rajasthan,-0.022105031,61.6,-0.0001896888231975786
Sikkim,0.019630212,76.2,-0.003139406028758994
Tamil Nadu,0.009113836,59.3,0.00027499265439086436
Telangana,-0.01995912,63.4,-0.0005533525882667936
Tripura,0.007147954,59.4,0.00025478911188701875
Uttar Pradesh,-0.011715744,55.4,0.0010629308120408312
Uttaranchal,-0.007271926,57.2,0.0006992670469716147
West Bengal,0.008664331,60.3,7.295722935241126e-05
