State,residual_HDI,SC_share,ST_share,SC_share_z,ST_share_z,log_GNI_pc,residual_pred_social,social_model_error
Andaman and Nicobar Islands,-0.004049135,0.0,0.0,-1.4060185248988752,-0.7828880463158088,9.334,0.010988134110538034,-0.015037269110538033
Andhra Pradesh,-0.032105031,16.41,5.3,0.5275883465522497,-0.5982008069030289,9.027,-0.003238784950217448,-0.02886624604978255
Arunachal Pradesh,0.004562943,0.0,68.8,-1.4060185248988752,1.614561401155748,9.064,0.008583207144759294,-0.004020264144759294
Assam,0.015827301,7.15,12.4,-0.5635268045530164,-0.3507895993877956,8.387,0.004893292477002955,0.010934008522997044
Bihar,-0.006483741,15.91,1.3,0.46867284163295886,-0.737587402686259,8.253,-0.0021998029712265374,-0.004283938028773463
Chandigarth,0.005943416,18.86,0.0,0.8162743206567746,-0.7828880463158088,9.633,-0.005520609585714502,0.011464025585714502
Chhattisgarh,-0.009414311,12.82,30.6,0.10457502123174156,0.2834194114259012,8.688,-0.000872807308360115,-0.008541503691639885
Dadra and Nagar Haveli,-0.013926765,1.8,52.0,-1.1939227071894283,1.029137698866182,8.718,0.007854877310809864,-0.021781642310809864
Daman and Diu,-0.011579045,2.52,6.3,-1.1090843801056496,-0.5633541579572214,9.125,0.008694447200734902,-0.0202734922007349
Goa,0.0137725981527329,1.74,10.2,-1.2009925677797433,-0.42745222706857217,9.643,0.008918758960746991,0.0048538391919859085
Gujarat,-0.035715347,6.74,14.8,-0.6118375185868349,-0.2671576419178575,9.092,0.004742712598463735,-0.040458059598463735
Haryana,-0.019551978,20.17,0.0,0.9706329435453169,-0.7828880463158088,9.381,-0.006506272636473173,-0.013045705363526828
Himachal Pradesh,0.002492148,25.19,5.7,1.5621446129349967,-0.5842621473247059,9.355,-0.01105055574364645,0.01354270374364645
Jammu and Kashmir,0.017444098,7.38,11.9,-0.5364256722901427,-0.3682129238606993,9.27,0.004191502111498373,0.013252595888501629
Jharkhand,0.005627654,12.08,26.2,0.017380073951191104,0.1300941560643481,8.346,0.00013389850297854979,0.00549375549702145
Karnataka,-0.011056982,17.15,7.0,0.6147832938328,-0.5389615036951562,9.112,-0.003993144079064924,-0.0070638379209350755
Kerala,0.040223468,9.1,1.5,-0.33375633536778226,-0.7306180728970975,9.4,0.003012916868166259,0.03721055113183374
Lakshadweep,-0.000298595,0.0,94.8,-1.4060185248988752,2.5205742737467434,9.413,0.007408113466161053,-0.007706708466161054
Madhya Pradesh,-0.016506487,15.62,21.1,0.43450184877977005,-0.04762375355927016,8.629,-0.0029086169385965288,-0.01359787006140347
Maharashtra,0.008601383,11.81,9.4,-0.014434298705225893,-0.45532954622521815,9.132,0.000529888913159274,0.008071494086840728
Manipur,0.050576079,3.78,40.9,-0.9606173077090367,0.6423398955677185,8.671,0.006581716336565173,0.04399436266343483
Meghalaya,0.009848682,0.58,86.1,-1.337676539192498,2.217408427918218,8.737,0.007629172347997017,0.0022195096520029826
Mizoram,-0.000229562,0.11,94.4,-1.3930571138166314,2.5066356141684207,9.327,0.007378532846493103,-0.007608094846493103
Nagaland,0.021169334578454,0.0,86.5,-1.4060185248988752,2.231347087496541,8.888,0.008027389145593321,0.01314194543286068
New Delhi,0.002407819,16.75,0.0,0.5676508898973674,-0.7828880463158088,9.518,-0.0036255211679339424,0.006033340167933943
Orissa,-0.007554537,17.13,22.8,0.6124266736360283,0.011615549648602588,8.544,-0.004229420321145403,-0.003325116678854597
Puducherry,0.016666889,15.73,0.0,0.4474632598620142,-0.7828880463158088,9.456,-0.0027056295493806688,0.01937251854938067
Punjab,-0.030196809,31.94,0.0,2.357503929345423,-0.7828880463158088,9.489,-0.016762521425794166,-0.013434287574205835
Rajasthan,-0.022105031,17.83,13.5,0.6949083805230354,-0.31245828554740734,9.027,-0.004774096023165553,-0.017330934976834446
Sikkim,0.019630212,4.63,33.8,-0.8604609493462423,0.39492868805248516,9.183,0.005808027106739865,0.013822184893260137
Tamil Nadu,0.009113836,20.01,1.1,0.9517799819711439,-0.7445567324754204,9.102,-0.0062440169284485045,0.015357852928448504
Telangana,-0.01995912,17.83,9.3,0.6949083805230354,-0.45881421111979886,9.077,-0.004647069643937444,-0.015312050356062555
Tripura,0.007147954,17.83,31.8,0.6949083805230354,0.3252353901608702,8.538,-0.0051675070002914,0.012315461000291399
Uttar Pradesh,-0.011715744,20.7,0.6,1.0330833787597649,-0.7619800569483243,8.571,-0.006509441808136187,-0.005206302191863813
Uttaranchal,-0.007271926,18.76,2.9,0.8044912196729167,-0.681832764372967,9.148,-0.005255795852350305,-0.002016130147649695
West Bengal,0.008664331,23.51,5.8,1.3641885164061796,-0.5807774824301252,8.619,-0.009164973783337724,0.017829304783337725
