State,HDI,log_GNI_pc,HDI_pred,residual_HDI,WPR,Urban_MPCE,Rural_MPCE,SC_share,ST_share
Andaman and Nicobar Islands,0.706,9.334,0.7100491348862765,-0.004049135,63.9,10268,7332,0,0
Andhra Pradesh,0.642,9.027,0.6741050314654866,-0.032105031,64.3,6877,4996,16.41,5.3
Arunachal Pradesh,0.683,9.064,0.6784370569591975,0.004562943,66.4,8649,5300,0,68.8
Assam,0.615,8.387,0.5991726986012994,0.015827301,55.8,6210,3546,7.15,12.4
Bihar,0.577,8.253,0.5834837414078602,-0.006483741,48.7,4819,3454,15.91,1.3
Chandigarth,0.751,9.633,0.745056584,0.005943416,51.8,12577,7467,18.86,0
Chhattisgarh,0.625,8.688,0.6344143114014875,-0.009414311,73.6,4557,2575,12.82,30.6
Dadra and Nagar Haveli,0.624,8.718,0.6379267645044963,-0.013926765,66.6,6306,4229,1.8,52
Daman and Diu,0.674,9.125,0.6855790449353154,-0.011579045,66.6,6306,4229,2.52,6.3
Goa,0.76,9.643,0.7462274018472671,0.013772598152732907,52.6,8761,7388,1.74,10.2
Gujarat,0.646,9.092,0.6817153465220058,-0.035715347,65.8,6630,3820,6.74,14.8
Haryana,0.696,9.381,0.7155519780809904,-0.019551978,49.4,7948,4912,20.17,0
Himachal Pradesh,0.715,9.355,0.7125078520583827,0.002492148,77.2,8083,5573,25.19,5.7
Jammu and Kashmir,0.72,9.27,0.7025559015998578,0.017444098,64.3,6200,4357,7.38,11.9
Jharkhand,0.6,8.346,0.5943723460271874,0.005627654,64.5,4946,2796,12.08,26.2
Karnataka,0.673,9.112,0.6840569819240117,-0.011056982,61.2,7781,4578,17.15,7
Kerala,0.758,9.4,0.7177765317128959,0.040223468,55.2,7102,5960,9.1,1.5
Lakshadweep,0.719,9.413,0.7192985947241998,-0.000298595,41,5511,5979,0,94.8
Madhya Pradesh,0.611,8.629,0.6275064869655702,-0.016506487,66.6,5011,3158,15.62,21.1
Maharashtra,0.695,9.132,0.6863986173260174,0.008601383,62,6683,4076,11.81,9.4
Manipur,0.683,8.671,0.6324239213097824,0.050576079,52.9,4902,4370,3.78,40.9
Meghalaya,0.65,8.737,0.6401513181364018,0.009848682,67.3,6450,3530,0.58,86.1
Mizoram,0.709,9.327,0.7092295624955746,-0.000229562,60.5,7664,5243,0.11,94.4
Nagaland,0.679,8.888,0.657830665,0.021169334578454047,70.9,7159,4457,0,86.5
New Delhi,0.734,9.518,0.7315921805847305,0.002407819,49.4,8250,6595,16.75,0
Orissa,0.61,8.544,0.6175545365070454,-0.007554537,63.8,5223,2996,17.13,22.8
Puducherry,0.741,9.456,0.7243331108385123,0.016666889,54.7,7741,6627,15.73,0
Punjab,0.698,9.489,0.7281968092518221,-0.030196809,54,6577,5363,31.94,0
Rajasthan,0.652,9.027,0.6741050314654866,-0.022105031,61.6,5970,4348,17.83,13.5
Sikkim,0.712,9.183,0.6923697876011323,0.019630212,76.2,12125,7787,4.63,33.8
Tamil Nadu,0.692,9.102,0.6828861642230087,0.009113836,59.3,7742,5457,20.01,1.1
Telangana,0.66,9.077,0.6799591199705014,-0.01995912,63.4,8251,4959,17.83,9.3
Tripura,0.624,8.538,0.6168520458864436,0.007147954,59.4,7473,5301,17.83,31.8
Uttar Pradesh,0.609,8.571,0.6207157442997532,-0.011715744,55.4,5104,3277,20.7,0.6
Uttaranchal,0.681,9.148,0.6882719256476221,-0.007271926,57.2,7034,4721,18.76,2.9
West Bengal,0.635,8.619,0.6263356692645673,0.008664331,60.3,5426,3407,23.51,5.8
